Image ID,Image URL,Actual Food Name,Cuisine,Veg/NonVeg,Lighting,Plate Type,Angle,Serving Size,AI Prediction,Confidence,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Response Time (ms),Vision Model Used,Database Match,API Status,Result Status,Failure Reason,Severity
IMG_1009,https://cdn.pulsefit.app/audit/v3/IMG_1009.jpg,Sabudana Khichdi,Maharashtrian,Veg,Day Indoor,Steel Thali,Close-up,1 Serving (250g),Sabudana Khichdi,0.88,278,3,62,10,7.4,5.0,967,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1011,https://cdn.pulsefit.app/audit/v3/IMG_1011.jpg,Thalipeeth,Maharashtrian,Veg,Outdoor Natural,Banana Leaf,Top-Down 90°,1 Serving (250g),Thalipeeth,0.87,229,7,44,9,5.3,3.5,892,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1018,https://cdn.pulsefit.app/audit/v3/IMG_1018.jpg,Tambda Rassa,Maharashtrian,Non-Veg,Dim Restaurant,Banana Leaf,Close-up,1 Serving (250g),Generic Maharashtrian Curry,0.8,350,12,6,16,0.7,0.5,627,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1068,https://cdn.pulsefit.app/audit/v3/IMG_1068.jpg,Maharashtrian Special Veg Dish #68,Maharashtrian,Veg,Dim Restaurant,Ceramic White,Angled 45°,1 Serving (250g),Generic Maharashtrian Curry,0.8,364,34,61,4,7.3,4.9,638,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1095,https://cdn.pulsefit.app/audit/v3/IMG_1095.jpg,Maharashtrian Special Veg Dish #95,Maharashtrian,Veg,Outdoor Natural,Banana Leaf,Angled 45°,1 Serving (250g),Maharashtrian Special Veg Dish #95,0.9,303,5,32,12,3.8,2.6,1035,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1099,https://cdn.pulsefit.app/audit/v3/IMG_1099.jpg,Maharashtrian Special Veg Dish #99,Maharashtrian,Veg,Night Warm Light,Banana Leaf,Close-up,1 Serving (250g),Maharashtrian Special Veg Dish #99,0.9,355,19,41,17,4.9,3.3,750,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1102,https://cdn.pulsefit.app/audit/v3/IMG_1102.jpg,Maharashtrian Special Chicken Dish #102,Maharashtrian,Non-Veg,Day Indoor,Banana Leaf,Top-Down 90°,1 Serving (250g),Maharashtrian Special Chicken Dish #102,0.89,320,29,42,25,5.0,3.4,830,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1128,https://cdn.pulsefit.app/audit/v3/IMG_1128.jpg,Maharashtrian Special Chicken Dish #128,Maharashtrian,Non-Veg,Day Indoor,Takeaway Container,Close-up,1 Serving (250g),Maharashtrian Special Chicken Dish #128,0.88,196,19,57,21,6.8,4.6,879,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1176,https://cdn.pulsefit.app/audit/v3/IMG_1176.jpg,North Indian Special Chicken Dish #26,North Indian,Non-Veg,Day Indoor,Banana Leaf,Side View,1 Serving (250g),North Indian Special Chicken Dish #26,0.86,295,19,22,5,2.6,1.8,655,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1201,https://cdn.pulsefit.app/audit/v3/IMG_1201.jpg,North Indian Special Veg Dish #51,North Indian,Veg,Dim Restaurant,Banana Leaf,Close-up,1 Serving (250g),North Indian Special Veg Dish #51,0.86,518,28,56,8,6.7,4.5,763,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1206,https://cdn.pulsefit.app/audit/v3/IMG_1206.jpg,North Indian Special Veg Dish #56,North Indian,Veg,Day Indoor,Banana Leaf,Side View,1 Serving (250g),Generic North Indian Curry,0.75,301,30,32,13,3.8,2.6,949,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1212,https://cdn.pulsefit.app/audit/v3/IMG_1212.jpg,North Indian Special Veg Dish #62,North Indian,Veg,Dim Restaurant,Steel Thali,Top-Down 90°,1 Serving (250g),North Indian Special Veg Dish #62,0.89,457,34,28,12,3.4,2.2,935,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1246,https://cdn.pulsefit.app/audit/v3/IMG_1246.jpg,North Indian Special Veg Dish #96,North Indian,Veg,Day Indoor,Ceramic White,Close-up,1 Serving (250g),Generic North Indian Curry,0.8,273,8,44,5,5.3,3.5,783,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1277,https://cdn.pulsefit.app/audit/v3/IMG_1277.jpg,North Indian Special Chicken Dish #127,North Indian,Non-Veg,Day Indoor,Takeaway Container,Side View,1 Serving (250g),North Indian Special Chicken Dish #127,0.9,159,24,37,24,4.4,3.0,1045,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1298,https://cdn.pulsefit.app/audit/v3/IMG_1298.jpg,North Indian Special Chicken Dish #148,North Indian,Non-Veg,Outdoor Natural,Banana Leaf,Angled 45°,1 Serving (250g),North Indian Special Chicken Dish #148,0.86,451,27,32,5,3.8,2.6,1025,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1339,https://cdn.pulsefit.app/audit/v3/IMG_1339.jpg,South Indian Special Chicken Dish #39,South Indian,Non-Veg,Dim Restaurant,Steel Thali,Top-Down 90°,1 Serving (250g),South Indian Special Chicken Dish #39,0.87,151,5,37,5,4.4,3.0,1050,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1396,https://cdn.pulsefit.app/audit/v3/IMG_1396.jpg,South Indian Special Veg Dish #96,South Indian,Veg,Dim Restaurant,Steel Thali,Top-Down 90°,1 Serving (250g),South Indian Special Veg Dish #96,0.88,169,31,34,13,4.1,2.7,976,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1405,https://cdn.pulsefit.app/audit/v3/IMG_1405.jpg,South Indian Special Veg Dish #105,South Indian,Veg,Outdoor Natural,Takeaway Container,Side View,1 Serving (250g),South Indian Special Veg Dish #105,0.89,526,33,65,9,7.8,5.2,797,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
